Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Korea, Dem. Rep.",4452618,4377524,4338940,4339083,4377910,4453119,4559998,4691576,4839064,4992602,5143472,5286478,5422016,5556960,5702151,5864980,6046366,6241858,6446971,6655213,6861262,7064954,7266016,7458981,7637231,7796639,7933920,8051669,8158994,8268763,8390229,8526931,8676169,8833373,8991217,9144469,9291354,9433923,9575198,9719732,9870410,10028141,10190543,10353207,10510035,10656492,10791151,10914811,11027927,11131737,11227298,11314540,11393380,11464987,11530873,11592308,11649876,11703914,11755147,11804293,11851952,11898493,11944192,11989375,12034317,12079162,12124048,12168845,12213051,12255954,12296944,12335813,12372410,12406239,12436746,12463484,12486250,12504952,12519423,12529541,12535255,12536517,12533429,12526308,12515595,12501678,12484727,12464889,12442512,12417983,12391634,12363699,12334332,12303633,12271681,12238565,12204392,12169295,12133435,12096999,12060198
"Congo, Dem. Rep.",5707085,5842445,5979601,6121828,6271478,6429981,6597798,6774469,6958757,7148902,7343352,7541552,7744637,7955722,8179068,8417622,8672901,8943774,9227310,9519178,9816356,10117790,10424782,10739501,11065177,11404121,11758170,12126750,12506994,12894712,13287562,13685817,14092842,14513356,14953646,15419220,15906351,16415752,16962043,17564241,18232882,18980267,19794809,20634222,21440483,22174056,22815896,23383675,23919574,24485165,25124533,25851975,26652561,27505817,28379202,29249044,30110240,30971095,31837050,32717617,33619548,34543000,35484414,36442532,37415325,38400973,39398827,40408258,41427368,42453921,43485971,44522278,45561941,46603782,47646700,48689679,49731774,50772144,51810057,52844879,53876031,54902765,55924543,56941285,57953105,58959943,59961296,60956473,61944978,62926279,63899767,64864736,65820394,66765869,67700229,68622493,69531633,70426581,71306225,72169413,73014951
Denmark,2118000,2138477,2156890,2173555,2188808,2203007,2216535,2229796,2243205,2257163,2271998,2287895,2304839,2322592,2340759,2359002,2377250,2395443,2413247,2430259,2446162,2460790,2474089,2485993,2496479,2505532,2513229,2519563,2524363,2527408,2528632,2527985,2525802,2522883,2520282,2518810,2518747,2520057,2522831,2527058,2532701,2539825,2548408,2558178,2568759,2579828,2591308,2603116,2614909,2626282,2636945,2646691,2655551,2663779,2671775,2679816,2687984,2696144,2704093,2711537,2718269,2724237,2729532,2734275,2738647,2742790,2746730,2750459,2754038,2757535,2760998,2764453,2767890,2771271,2774532,2777619,2780524,2783238,2785698,2787829,2789576,2790917,2791859,2792410,2792589,2792419,2791907,2791067,2789935,2788554,2786967,2785207,2783304,2781285,2779178,2777016,2774839,2772694,2770633,2768717,2767014
Djibouti,30777,31491,32254,33051,33888,34785,35782,36934,38313,39995,42048,44514,47389,50620,54122,57837,61801,66055,70560,75263,80156,85078,90101,95724,102617,111188,121839,134255,147263,159236,169091,176127,180890,185052,190991,200313,213790,230601,248828,265719,279344,288944,295280,299785,304607,311273,320253,330962,342613,353988,364214,373082,380926,388058,394983,402072,409395,416835,424359,431887,439364,446812,454275,461739,469184,476602,483973,491321,498733,506325,514173,522311,530695,539232,547788,556261,564618,572873,581023,589080,597053,604931,612699,620354,627897,635328,642644,649845,656934,663919,670804,677592,684284,690880,697380,703785,710097,716321,722460,728524,734519
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,1235742,1272683,1312140,1353967,1398037,1444242,1492497,1542736,1594908,1648971,1704872,1762527,1821799,1882495,1944383,2007264,2071012,2135537,2200713,2266419,2332549,2399069,2465912,2532907,2599859,2666650,2733166,2799502,2866022,2933230,3001488,3070911,3141383,3212749,3284752,3357194,3429971,3503086,3576559,3650445,3724735,3799474,3874498,3949347,4023418,4096297,4167760,4237956,4307312,4376457,4445846,4515557,4585423,4655355,4725183,4794752,4864048,4933016,5001395,5068856,5135144,5200134,5263816,5326208,5387376,5447366,5506144,5563654,5619898,5674888,5728627,5781099,5832283,5882166,5930733,5977968,6023851,6068353,6111440,6153069,6193199,6231806,6268861,6304319,6338129,6370250,6400655,6429328,6456248,6481403,6504778,6526366,6546159,6564156,6580356,6594764,6607387,6618238,6627332,6634689,6640333
Ecuador,1683615,1728639,1775279,1823608,1873723,1925735,1979781,2036014,2094604,2155720,2219509,2286056,2355362,2427328,2501792,2578627,2657821,2739392,2823278,2909410,2997737,3088177,3180727,3275506,3372693,3472385,3574561,3679079,3785773,3894418,4004804,4116744,4230100,4344756,4460611,4577507,4695117,4813108,4931277,5049438,5167284,5284769,5401361,5515691,5626026,5731122,5830493,5924422,6013437,6098436,6180180,6258949,6334854,6408337,6479885,6550006,6618758,6686571,6754736,6824856,6898008,6974766,7054677,7136492,7218371,7298912,7377699,7454928,7530536,7604621,7677230,7748187,7817274,7884481,7949842,8013364,8075000,8134662,8192274,8247751,8301024,8352051,8400806,8447265,8491408,8533221,8572711,8609873,8644668,8677053,8707013,8734578,8759818,8782832,8803736,8822647,8839686,8854971,8868617,8880735,8891438
Egypt,10696623,10960161,11238663,11531145,11836648,12154250,12483056,12822202,13170857,13528215,13893493,14265923,14644750,15029224,15418612,15812214,16210511,16613137,17017685,17421063,17821592,18219221,18616357,19017020,19426637,19849958,20287758,20741491,21217323,21722684,22262643,22837669,23445513,24084599,24752168,25444437,26162952,26903383,27648885,28377599,29074229,29731820,30355294,30956173,31552158,32156685,32772562,33397259,34032607,34679529,35338616,36011134,36697563,37396373,38105104,38821550,39544855,40274262,41007627,41742457,42476508,43208496,43937188,44660493,45376161,46082382,46778070,47462693,48135802,48797238,49446970,50084604,50710150,51324577,51929272,52525343,53112942,53692065,54263460,54827978,55386146,55938047,56483291,57021273,57551117,58071949,58583425,59084952,59575061,60051977,60514258,60961024,61391875,61806711,62205522,62588196,62954453,63303806,63635548,63948763,64242330
El Salvador,1085452,1104768,1126114,1149288,1174207,1200904,1229540,1260394,1293834,1330273,1370027,1413172,1459410,1508015,1557994,1608541,1659328,1710264,1761066,1811495,1861329,1910310,1958229,2004993,2050560,2094866,2137964,2179731,2219742,2257457,2292568,2324936,2354912,2383304,2411221,2439526,2468202,2497170,2527120,2558867,2592809,2629415,2668043,2706601,2742235,2772881,2797905,2817853,2833331,2845426,2855061,2862331,2867314,2870961,2874439,2878658,2884078,2890778,2898797,2908008,2918326,2929893,2942864,2957144,2972574,2989036,3006471,3024911,3044427,3065129,3087068,3110175,3134316,3159384,3185244,3211737,3238820,3266314,3293755,3320567,3346320,3370801,3394044,3416176,3437442,3458028,3477940,3497110,3515573,3533366,3550524,3567076,3583046,3598459,3613335,3627697,3641567,3654970,3667931,3680477,3692637
Equatorial Guinea,110879,113056,114327,115130,115798,116570,117577,118853,120344,121927,123473,124910,126278,127752,129580,131874,134848,138290,141376,142993,142406,139384,134359,128090,121676,116000,111133,107080,104566,104447,107248,113404,122569,133510,144486,154229,162287,168989,174807,180537,186761,193553,200684,208079,215596,223132,230689,238318,246011,253763,261572,269429,277335,285310,293381,301566,309880,318314,326836,335402,343983,352560,361151,369811,378615,387615,396829,406229,415766,425368,434978,444580,454181,463777,473372,482966,492554,502127,511685,521230,530763,540282,549788,559282,568768,578247,587719,597185,606651,616127,625618,635124,644641,654160,663672,673168,682639,692079,701481,710840,720154
Eritrea,564900,575731,587343,599707,612799,626604,641112,656322,672234,688858,706200,724263,743041,762519,782676,803500,825014,847239,870158,893744,918001,942833,968286,994667,1022390,1051705,1082771,1115375,1148933,1182639,1215910,1248075,1279198,1310273,1342753,1377419,1415590,1456328,1495519,1527549,1548872,1557770,1556841,1552189,1552363,1563682,1587860,1623530,1670094,1725928,1789516,1861323,1941126,2025741,2110986,2193800,2272653,2348036,2421403,2495201,2571129,2649492,2729340,2809650,2888945,2966167,3040997,3113791,3184990,3255308,3325289,3395052,3464486,3533652,3602569,3671274,3739822,3808311,3876864,3945622,4014684,4084073,4153768,4223753,4293995,4364438,4435041,4505715,4576292,4646559,4716325,4785440,4853788,4921268,4987776,5053189,5117352,5180079,5241153,5300322,5357306
Estonia,469520,478524,486181,492846,498838,504436,509878,515364,521055,527075,533519,540458,547943,556010,564672,573899,583725,594047,604522,614694,624219,633013,641112,648447,654977,660708,665543,669563,673180,676952,681274,686081,691203,696765,702903,709568,717167,725313,732218,735496,733574,725682,712691,696708,680748,667042,656284,647981,641735,636724,632330,628581,625727,623597,621987,620730,619729,618948,618367,617997,617833,617834,617942,618124,618349,618585,618808,618991,619108,619132,619040,618821,618463,617950,617266,616403,615358,614141,612777,611297,609731,608092,606396,604681,602992,601367,599819,598358,597004,595782,594704,593771,592973,592292,591703,591178,590689,590204,589692,589119,588449
Ethiopia,9131228,9307264,9487279,9671680,9861146,10056634,10259394,10470954,10693044,10927484,11175830,11439007,11716978,12008609,12312058,12625949,12947282,13275809,13615847,13973558,14351711,14758113,15187607,15614886,16005626,16338278,16600587,16808380,17002723,17241024,17564747,17989010,18502422,19087440,19715095,20363992,21028624,21715572,22429259,23177645,23965101,24793041,25654679,26536472,27420442,28293796,29151548,29997425,30838297,31685177,32546667,33423985,34316007,35226361,36158970,37116637,38100885,39111416,40146693,41204063,42281157,43377306,44491826,45622126,46765095,47918069,49079362,50247896,51422369,52601661,53784651,54970057,56156605,57343244,58529000,59712921,60894116,62071641,63244478,64411595,65572100,66725049,67869880,69006563,70135344,71256199,72368541,73471432,74564052,75645462,76714703,77770824,78812870,79839860,80850752,81844420,82819641,83775093,84709348,85620880,86508060
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,150997,153190,156482,160663,165553,170997,176869,183071,189528,196186,202998,209907,216836,223682,230331,236703,242749,248484,253976,259336,264650,269951,275242,280548,285891,291298,296685,302070,307696,313886,320812,328695,337322,345908,353383,359026,362472,364065,364658,365487,367436,370798,375272,380425,385572,390214,394255,397864,401111,404141,407064,409867,412513,415067,417609,420196,422857,425573,428285,430910,433383,435702,437883,439912,441775,443470,444975,446311,447574,448892,450353,451995,453784,455644,457462,459154,460695,462102,463388,464577,465686,466711,467637,468451,469137,469684,470086,470344,470459,470433,470269,469968,469530,468953,468239,467389,466405,465293,464059,462711,461261
Finland,1916003,1935788,1958138,1981888,2006089,2030002,2053112,2075116,2095900,2115503,2134000,2151379,2167432,2181713,2193663,2203000,2209370,2213185,2215867,2219353,2225002,2233515,2244442,2256593,2268178,2277963,2285466,2291266,2296451,2302603,2310819,2321558,2334333,2348147,2361541,2373500,2383565,2392155,2400180,2408978,2419454,2431985,2446088,2460779,2474642,2486682,2496582,2504728,2511690,2518343,2525350,2532812,2540589,2548820,2557618,2567039,2577180,2587983,2599140,2610217,2620885,2631020,2640648,2649778,2658466,2666747,2674591,2681926,2688703,2694860,2700357,2705169,2709301,2712776,2715634,2717907,2719620,2720776,2721370,2721385,2720826,2719712,2718096,2716057,2713693,2711089,2708291,2705337,2702303,2699269,2696301,2693445,2690728,2688162,2685754,2683510,2681438,2679549,2677856,2676375,2675126
France,20108660,20215569,20367966,20549166,20746961,20953616,21166112,21385907,21618208,21870776,22150306,22458581,22789101,23125634,23446316,23735680,23985796,24201206,24394189,24583466,24782039,24995051,25216550,25435309,25634955,25804440,25939768,26046978,26137244,26226640,26326923,26441506,26567300,26701624,26839443,26976817,27114110,27252278,27388524,27519339,27642362,27757317,27865409,27967795,28066301,28162969,28256636,28348762,28447123,28561840,28699569,28863677,29050564,29251202,29452615,29645108,29825695,29996173,30157417,30311870,30461346,30605329,30742719,30874252,31000960,31123640,31242590,31357764,31469202,31576837,31680649,31780754,31877330,31970480,32060306,32146894,32230280,32310504,32387660,32461847,32533119,32601511,32666961,32729295,32788273,32843704,32895598,32943959,32988590,33029255,33065822,33098322,33126924,33151899,33173568,33192257,33208284,33221949,33233531,33243290,33251468
French Guiana,13215,13555,13876,14168,14428,14666,14901,15163,15490,15923,16499,17232,18108,19079,20075,21042,21979,22896,23761,24537,25208,25753,26201,26650,27232,28044,29126,30457,31999,33687,35472,37331,39280,41362,43639,46142,48901,51870,54919,57873,60611,63080,65328,67451,69595,71871,74297,76845,79521,82317,85225,88259,91411,94621,97810,100919,103925,106842,109700,112547,115419,118321,121242,124183,127141,130115,133105,136114,139140,142181,145234,148298,151371,154449,157527,160600,163666,166722,169764,172787,175787,178761,181707,184623,187507,190357,193171,195949,198693,201402,204080,206727,209342,211927,214480,217004,219499,221966,224409,226830,229233
French Polynesia,31124,32063,32958,33831,34701,35586,36501,37459,38469,39542,40683,41899,43198,44584,46066,47645,49324,51101,52967,54910,56919,58991,61122,63299,65508,67737,69977,72225,74486,76766,79068,81393,83732,86072,88396,90691,92951,95177,97372,99544,101697,103832,105945,108032,110087,112108,114091,116039,117957,119853,121732,123597,125447,127274,129068,130823,132535,134207,135853,137487,139122,140761,142398,144025,145630,147202,148739,150242,151706,153130,154512,155849,157140,158384,159582,160733,161837,162895,163906,164872,165794,166672,167507,168304,169068,169802,170508,171187,171835,172452,173034,173581,174094,174574,175020,175434,175815,176161,176470,176740,176966
Gabon,228532,228795,229341,230068,230898,231779,232683,233608,234574,235621,236789,238112,239598,241229,242974,244833,246779,248891,251398,254606,258726,263864,269950,276808,284168,291833,299753,307990,316595,325658,335245,345360,355976,367092,378704,390807,403359,416351,429843,443917,458608,473939,489808,505966,522085,537918,553366,568458,583241,597813,612249,626553,640694,654687,668544,682285,695915,709459,722980,736556,750244,764065,778013,792081,806254,820515,834862,849285,863741,878174,892540,906816,920992,935054,948987,962781,976424,989903,1003205,1016315,1029224,1041922,1054410,1066702,1078821,1090782,1102587,1114230,1125710,1137024,1148170,1159142,1169935,1180542,1190955,1201163,1211155,1220919,1230439,1239700,1248684
Gambia,125880,126703,128229,130340,132937,135939,139286,142937,146866,151065,155528,160246,165198,170347,175648,181081,186609,192267,198199,204601,211608,219288,227588,236371,245440,254651,263991,273524,283280,293317,303694,314399,325471,337087,349476,362797,377129,392426,408565,425358,442667,460430,478678,497460,516862,536929,557660,578972,600732,622763,644927,667178,689511,711879,734242,756579,778848,801057,823296,845691,868335,891260,914441,937837,961384,985034,1008778,1032635,1056627,1080787,1105138,1129682,1154405,1179297,1204341,1229522,1254830,1280258,1305797,1331437,1357168,1382977,1408848,1434760,1460692,1486621,1512531,1538406,1564228,1589979,1615640,1641195,1666629,1691925,1717071,1742052,1766853,1791460,1815859,1840034,1863971
Georgia,1629216,1656324,1685581,1716122,1747294,1778650,1809962,1841211,1872554,1904270,1936597,1969561,2002822,2035610,2066911,2096005,2122564,2146794,2169165,2190418,2211100,2231494,2251483,2270763,2288860,2305527,2320533,2334283,2347933,2363035,2380647,2400521,2422032,2445285,2470345,2496793,2525565,2555418,2581150,2595882,2595005,2576286,2541961,2497455,2450646,2407382,2369451,2335601,2304972,2275672,2246327,2217242,2189236,2161973,2135006,2108079,2080946,2053882,2027792,2003918,1983114,1965695,1951292,1939229,1928495,1918312,1908444,1898981,1889860,1881096,1872673,1864500,1856418,1848279,1839919,1831219,1822097,1812555,1802666,1792554,1782313,1771953,1761451,1750839,1740151,1729411,1718639,1707837,1696981,1686036,1674976,1663795,1652503,1641118,1629658,1618139,1606566,1594934,1583231,1571432,1559503
Germany,31493002,31683988,31898048,32122255,32348402,32573000,32797577,33028381,33275479,33551270,33865994,34222952,34614324,35019371,35409522,35763314,36073622,36343444,36573977,36769916,36935131,37068730,37169553,37241537,37289993,37319454,37335805,37341247,37332729,37304943,37256825,37184498,37097577,37024564,37003062,37058993,37201399,37419681,37695149,37999395,38309299,38621980,38936875,39235781,39497306,39706792,39854101,39943285,39991939,40026410,40065939,40115955,40170832,40225536,40271147,40301244,40315539,40317104,40306707,40285731,40255333,40215580,40166508,40109270,40045293,39975653,39900944,39821161,39736019,39644933,39547499,39443801,39334145,39218601,39097257,38970216,38837566,38699425,38555966,38407390,38253887,38095617,37932723,37765367,37593713,37417930,37238278,37054959,36868028,36677492,36483463,36286209,36086136,35883747,35679590,35474216,35268160,35061934,34856026,34650899,34446991
