Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Maldives,1.773,1.894,2.007,2.173,2.461,2.821,2.99,3.207,2.794,1.879,1.428,1.42,1.452,1.381,1.193,0.96,0.772,0.66,0.569,0.445
Mali,1.592,1.814,1.761,1.768,1.782,1.699,1.795,1.932,1.967,1.942,2.346,2.372,2.362,2.237,2.078,1.91,1.787,1.68,1.56,1.425
Malta,0.128,-0.128,-0.454,-0.151,0.1,1.267,1.211,0.895,0.957,0.58,0.69,0.366,0.327,0.265,0.168,0.048,-0.082,-0.174,-0.203,-0.192
Marshall Islands,1.329,1.079,3.287,3.311,4.529,3.571,4.519,4.203,1.514,0.439,1.683,2.226,1.862,1.466,1.087,0.883,0.848,0.727,0.477,0.168
Martinique,2.037,2.733,1.998,0.886,0.183,-0.144,0.863,1.062,0.597,0.8,0.667,0.392,0.257,0.189,0.113,0.004,-0.127,-0.26,-0.378,-0.474
Mauritania,2.664,2.898,2.923,2.895,2.839,2.819,2.736,2.563,2.65,2.747,2.735,2.399,2.066,1.839,1.649,1.508,1.391,1.259,1.106,0.946
Mauritius,2.914,2.915,2.636,1.854,1.531,1.594,1.004,0.782,1.323,1.142,0.94,0.695,0.616,0.515,0.406,0.277,0.147,0.042,-0.026,-0.077
Mayotte,4.507,4.678,4.741,3.775,4.175,3.903,5.079,5.3,5.544,3.971,3.213,2.638,2.368,2.208,2.013,1.753,1.466,1.258,1.147,1.043
Melanesia,1.623,1.931,2.225,2.283,2.41,2.234,2.532,2.251,2.451,2.441,2.318,2.18,1.995,1.803,1.671,1.525,1.37,1.209,1.055,0.915
Mexico,3.016,3.23,3.174,3.112,3.039,2.615,1.908,1.921,1.886,1.65,1.133,0.985,0.864,0.707,0.606,0.495,0.351,0.183,0.012,-0.153
Micronesia,2.009,2.295,2.731,2.772,1.951,2.447,3.438,3.066,2.202,1.287,1.564,1.297,1.212,1.168,1.07,0.925,0.781,0.637,0.51,0.418
"Micronesia, Fed. Sts.",3.377,3.233,3.188,3.243,0.55,2.891,3.214,2.34,2.147,-0.024,0.428,0.306,0.482,0.644,0.715,0.561,0.372,0.166,-0.012,-0.106
Middle Africa,1.934,2.185,2.302,2.572,2.636,2.823,2.972,3.083,3.427,2.526,2.869,2.602,2.51,2.34,2.146,1.948,1.761,1.593,1.433,1.273
Monaco,0.392,1.636,0.548,0.81,1.199,0.722,1.306,0.973,0.929,0.886,0.28,0.276,0.272,0.269,0.635,0.269,0.298,0.292,0.341,0.329
