High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mexico,,10.09726977,8.429322322,8.680141476,11.24382898,11.59886598,13.93697516,15.17258119,15.80526976,17.55396463,19.25281534,20.74644062,22.45135077,22.05600024,21.42670845,21.39909612,21.28539642,19.63565926,18.98140785,17.17706,15.72923353,18.1761875,16.93780936,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,3.161701151,3.787891991,10.18763212,27.3876701,3.078261445,4.470038182,3.077960783,2.593038478,3.980864553,3.326060189,2.680779742,3.95672574,4.778952742,5.121666263,4.242426639,4.610525921,8.259890031,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,1.116624929,3.649593716,1.571419947,3.922348327,0.4686437163,0.08347069175,0.4462483648,0.205526891,0.1368884904,0.060600436,1.659613861,7.428124598,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,2.52562889,2.119738278,0.5505825564,0.3599047654,0.4116708168,9.56603216,12.33080699,11.28624441,9.508523786,11.11458536,11.34644242,10.18017418,9.641127053,9.791434552,8.817537552,5.950363166,7.325102243,7.692046008,
Mozambique,,,,,,,1.032843325,3.83632821,5.928664521,11.07442191,,2.195762645,9.021072265,2.006745879,3.52224411,6.890879821,11.28154074,8.367006719,2.307831285,10.57277155,3.791649384,9.515814299,1.267976358,
Myanmar,,,,,0.08306885072,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,1.819505295,0.8417795629,1.362940894,2.629023676,5.417134375,11.95002528,6.499242537,5.186931192,0.9171406142,,,
Nepal,,,,,,,2.921733703,,,,0.002831831981,0.0002599131655,0.01103116831,,,0.122198189,,,,,,0.4133738203,0.6487777354,
Netherlands,14.59318891,15.87208401,16.46066304,17.61854179,19.37845508,23.38791773,22.42544316,24.14475283,26.77689453,27.37786413,30.24554906,33.28088374,35.80657318,32.7138565,28.01292016,31.35062975,30.46736176,30.88972069,28.99001578,23.30733559,19.24875306,20.90427243,21.29411615,
